__UUID4__;44e53045-3338-4a42-acb8-a38a5817b84b
__CREATED-ON__;2021-01-13 13:38:54.295762
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
EVENT;2021-01-13 13:41:39.776372;30.4737;;91;BNC1Low
EVENT;2021-01-13 13:41:40.021291;30.718600000000002;;95;Port1Out
EVENT;2021-01-13 13:41:40.082128;30.779300000000003;;94;Port1In
TRANSITION;2021-01-13 13:41:40.082128;30.779300000000003;;open_valve;
EVENT;2021-01-13 13:41:40.132499;30.8293;;158;Tup
END-TRIAL;2021-01-13 13:41:40.132499;;;The trial ended;
INFO;2021-01-13 13:41:40.132499;134.895178;165.724482;TRIAL-BPOD-TIME;30.829304000000008
STATE;2021-01-13 13:41:40.132499;0;30.0;ITI;30.0
STATE;2021-01-13 13:41:40.132499;30.0;30.779300000000003;trial_start;0.7793000000000028
STATE;2021-01-13 13:41:40.132499;30.779300000000003;30.8293;open_valve;0.04999999999999716
TRIAL;2021-01-13 13:41:40.134494;;;New trial;
EVENT;2021-01-13 13:41:40.180371;0.041100000000000005;;95;Port1Out
EVENT;2021-01-13 13:41:40.262657;0.12300000000000001;;94;Port1In
EVENT;2021-01-13 13:41:40.367886;0.229;;95;Port1Out
EVENT;2021-01-13 13:41:40.397805;0.2576;;94;Port1In
EVENT;2021-01-13 13:41:40.502943;0.3638;;95;Port1Out
EVENT;2021-01-13 13:41:40.538358;0.3986;;94;Port1In
EVENT;2021-01-13 13:41:40.661030;0.5213;;95;Port1Out
EVENT;2021-01-13 13:41:40.691947;0.5529000000000001;;94;Port1In
EVENT;2021-01-13 13:41:40.819609;0.6793;;95;Port1Out
EVENT;2021-01-13 13:41:40.850523;0.7108;;94;Port1In
EVENT;2021-01-13 13:41:40.975191;0.8353;;95;Port1Out
EVENT;2021-01-13 13:41:41.011095;0.8716;;94;Port1In
EVENT;2021-01-13 13:41:41.130282;0.9904000000000001;;95;Port1Out
EVENT;2021-01-13 13:41:41.177156;1.038;;94;Port1In
EVENT;2021-01-13 13:41:41.283871;1.1439000000000001;;95;Port1Out
EVENT;2021-01-13 13:41:41.342714;1.2029;;94;Port1In
EVENT;2021-01-13 13:41:41.433471;1.2941;;95;Port1Out
EVENT;2021-01-13 13:41:41.501290;1.3613;;94;Port1In
EVENT;2021-01-13 13:41:41.594042;1.4544000000000001;;95;Port1Out
EVENT;2021-01-13 13:41:41.674826;1.5345;;94;Port1In
EVENT;2021-01-13 13:41:41.763588;1.6239000000000001;;95;Port1Out
EVENT;2021-01-13 13:41:41.830411;1.691;;94;Port1In
EVENT;2021-01-13 13:41:41.916181;1.7767000000000002;;95;Port1Out
EVENT;2021-01-13 13:41:41.985996;1.8471000000000002;;94;Port1In
